,Qdot,upstream,downstream,x,h,P,E
2024-01-01 00:00:00,7400.0,0.38,0.41,0,-0.02999999999999997,-0.0,0.0
2024-01-01 01:00:00,7399.999999999999,0.38000000000000006,0.4119999999999999,0,-0.03199999999999986,-0.0,-0.0
2024-01-01 02:00:00,7400.0,0.37,0.4109999999999999,0,-0.040999999999999925,-0.0,-0.0
2024-01-01 03:00:00,7400.0,0.37000000000000005,0.414,0,-0.04399999999999993,-0.0,-0.0
2024-01-01 04:00:00,7400.0,0.37,0.416,0,-0.045999999999999985,-0.0,-0.0
2024-01-01 05:00:00,7400.0,0.37,0.417,0,-0.046999999999999986,-0.0,-0.0
2024-01-01 06:00:00,7400.0,0.37000000000000005,0.419,0,-0.04899999999999993,-0.0,-0.0
2024-01-01 07:00:00,7400.0,0.37,0.417,0,-0.046999999999999986,-0.0,-0.0
2024-01-01 08:00:00,7400.0,0.36000000000000004,0.42699999999999994,0,-0.06699999999999989,-0.0,-0.0
2024-01-01 09:00:00,7399.999999999998,0.35,0.42499999999999993,0,-0.07499999999999996,-0.0,-0.0
2024-01-01 10:00:00,7400.0,0.36,0.421,0,-0.061,-0.0,-0.0
2024-01-01 11:00:00,7399.999999999998,0.35,0.418,0,-0.068,-0.0,-0.0
2024-01-01 12:00:00,7400.0,0.36,0.4139999999999999,0,-0.05399999999999994,-0.0,-0.0
2024-01-01 13:00:00,7399.999999999999,0.35999999999999993,0.4079999999999999,0,-0.04799999999999999,-0.0,-0.0
2024-01-01 14:00:00,7400.0,0.36,0.40399999999999997,0,-0.043999999999999984,-0.0,-0.0
2024-01-01 15:00:00,7400.0,0.36999999999999994,0.405,0,-0.03500000000000009,-0.0,-0.0
2024-01-01 16:00:00,7400.000000000001,0.36,0.40299999999999997,0,-0.04299999999999998,-0.0,-0.0
2024-01-01 17:00:00,7400.0,0.36999999999999994,0.39899999999999997,0,-0.029000000000000026,-0.0,-0.0
2024-01-01 18:00:00,7400.000000000001,0.38,0.398,0,-0.018000000000000016,-0.0,-0.0
2024-01-01 19:00:00,7400.0,0.38,0.39299999999999996,0,-0.012999999999999956,-0.0,-0.0
2024-01-01 20:00:00,7400.000000000001,0.37999999999999995,0.389,0,-0.009000000000000064,-0.0,-0.0
2024-01-01 21:00:00,7400.0,0.38,0.385,0,-0.0050000000000000044,-0.0,-0.0
2024-01-01 22:00:00,7400.000000000001,0.39,0.38699999999999996,1,0.003000000000000058,217346.43600000427,782447169.6000154
2024-01-01 23:00:00,7400.0,0.39,0.38199999999999995,1,0.008000000000000063,579590.4960000046,2086525785.6000166
