Date - Date,m^3/s
2024-01-01 0:00,10470
2024-01-09 0:00,10190
2024-01-16 0:00,9240
2024-01-24 0:00,8830
2024-02-01 0:00,10040
2024-02-08 0:00,8580
2024-02-15 0:00,9590
2024-02-22 0:00,9900
2024-03-01 0:00,9500
2024-03-09 0:00,9870
2024-03-16 0:00,10200
2024-03-24 0:00,9670
2024-04-01 0:00,8980
2024-04-09 0:00,9120
2024-04-16 0:00,9370
2024-04-24 0:00,9790
2024-05-01 0:00,9900
2024-05-09 0:00,9900
2024-05-16 0:00,10020
2024-05-24 0:00,10200
2024-06-01 0:00,10200
2024-06-09 0:00,10330
2024-06-16 0:00,10400
2024-06-24 0:00,10400
2024-07-01 0:00,10400
2024-07-09 0:00,10400
2024-07-16 0:00,10400
2024-07-24 0:00,10400
2024-08-01 0:00,10400
2024-08-09 0:00,10400
2024-08-16 0:00,10290
2024-08-24 0:00,10100
2024-09-01 0:00,9940
2024-09-09 0:00,9710
2024-09-16 0:00,9430
2024-09-24 0:00,9370
2024-10-01 0:00,9030
2024-10-09 0:00,9090
2024-10-16 0:00,9150
2024-10-24 0:00,9460
2024-11-01 0:00,9540
2024-11-09 0:00,9630
2024-11-16 0:00,9510
2024-11-24 0:00,9630
2024-12-01 0:00,9460
2024-12-09 0:00,8890
2024-12-16 0:00,9090
2024-12-24 0:00,9540
2025-01-01 0:00,9540
