Date - Date,m^3/s
2024-01-01 0:00,4590
2024-01-09 0:00,4620
2024-01-16 0:00,4730
2024-01-24 0:00,4390
2024-02-01 0:00,4300
2024-02-08 0:00,4280
2024-02-15 0:00,4390
2024-02-22 0:00,4470
2024-03-01 0:00,4560
2024-03-09 0:00,4790
2024-03-16 0:00,5100
2024-03-24 0:00,5000
2024-04-01 0:00,5190
2024-04-09 0:00,5150
2024-04-16 0:00,4980
2024-04-24 0:00,4960
2024-05-01 0:00,4960
2024-05-09 0:00,5070
2024-05-16 0:00,4930
2024-05-24 0:00,4960
2024-06-01 0:00,5100
2024-06-09 0:00,5320
2024-06-16 0:00,5470
2024-06-24 0:00,5520
2024-07-01 0:00,5580
2024-07-09 0:00,5550
2024-07-16 0:00,5490
2024-07-24 0:00,5440
2024-08-01 0:00,5380
2024-08-09 0:00,5270
2024-08-16 0:00,5300
2024-08-24 0:00,5150
2024-09-01 0:00,5070
2024-09-09 0:00,5040
2024-09-16 0:00,5130
2024-09-24 0:00,5130
2024-10-01 0:00,5070
2024-10-09 0:00,4930
2024-10-16 0:00,4870
2024-10-24 0:00,4980
2024-11-01 0:00,4870
2024-11-09 0:00,4790
2024-11-16 0:00,4790
2024-11-24 0:00,4760
2024-12-01 0:00,4900
2024-12-09 0:00,4790
2024-12-16 0:00,4730
2024-12-24 0:00,4790
2025-01-01 0:00,4790
